,PITCH_RESULT_KEY
213973,StrikeSwinging
125192,StrikeCalled
198786,StrikeSwinging
237002,StrikeCalled
162795,StrikeCalled
31101,StrikeCalled
30134,BallCalled
71567,BallCalled
124536,StrikeSwinging
110344,FoulBall
259375,BallCalled
267866,StrikeCalled
239432,InPlay
216621,BallCalled
162933,BallCalled
60042,BallCalled
266130,BallCalled
190319,BallCalled
8494,BallCalled
224251,FoulBall
131289,StrikeCalled
102251,BallCalled
39317,InPlay
121302,BallCalled
232936,InPlay
79210,FoulBall
202303,InPlay
54891,InPlay
224877,BallCalled
265627,BallCalled
107415,BallCalled
234401,InPlay
199622,BallCalled
78321,BallCalled
74638,BallCalled
11471,StrikeCalled
62035,BallCalled
50160,StrikeSwinging
31674,StrikeSwinging
31999,BallCalled
16484,StrikeSwinging
139309,BallCalled
266684,FoulBall
237175,StrikeSwinging
77449,BallCalled
166365,BallCalled
117201,FoulBall
106464,FoulBall
235031,StrikeCalled
233495,BallCalled
3810,BallCalled
218566,InPlay
11850,BallCalled
265792,BallCalled
71419,StrikeSwinging
225163,FoulBall
47912,FoulBall
21355,BallCalled
80194,StrikeSwinging
44401,BallCalled
200210,InPlay
22646,FoulBall
69443,InPlay
176690,InPlay
76651,StrikeSwinging
16653,BallCalled
216578,BallCalled
113626,BallCalled
258293,StrikeSwinging
46067,InPlay
240995,FoulBall
54760,BallCalled
156074,BallCalled
228977,FoulBall
150053,FoulBall
27564,StrikeCalled
189749,BallCalled
27309,StrikeSwinging
47419,BallCalled
12643,StrikeSwinging
38022,StrikeSwinging
202799,StrikeCalled
254966,BallCalled
259853,HitByPitch
156445,StrikeSwinging
163521,BallCalled
81310,StrikeCalled
84131,BallCalled
122039,FoulBall
77235,FoulBall
253255,BallCalled
100942,BallCalled
212788,FoulBall
233082,FoulBall
239049,BallCalled
180882,InPlay
173236,BallCalled
243199,FoulBall
237126,FoulBall
134296,FoulBall
137955,InPlay
126223,HitByPitch
7737,StrikeSwinging
27454,BallCalled
34339,FoulBall
172195,StrikeCalled
73012,StrikeSwinging
173477,BallCalled
178413,BallCalled
193856,StrikeSwinging
227266,BallCalled
127346,FoulBall
214804,BallCalled
32119,FoulBall
153025,FoulBall
82662,BallCalled
21938,BallCalled
220014,InPlay
41250,BallCalled
217620,BallCalled
196270,InPlay
47538,InPlay
263703,BallCalled
70482,BallCalled
60216,StrikeCalled
148771,StrikeSwinging
160291,StrikeSwinging
144304,BallCalled
259642,InPlay
149037,FoulBall
187728,InPlay
78506,StrikeCalled
262311,StrikeSwinging
71674,FoulBall
259060,StrikeCalled
33692,StrikeSwinging
148700,BallCalled
210943,BallCalled
136687,BallCalled
227296,StrikeCalled
201773,FoulBall
86068,StrikeCalled
189959,BallCalled
16097,FoulBall
159465,BallCalled
257689,StrikeCalled
50910,FoulBall
176764,BallCalled
166295,BallCalled
267387,StrikeSwinging
130058,InPlay
1459,StrikeCalled
183697,BallCalled
137118,BallCalled
232027,FoulBall
116448,InPlay
189524,FoulBall
59742,StrikeSwinging
195827,BallCalled
165714,BallCalled
86008,StrikeSwinging
2442,StrikeCalled
158848,BallCalled
266544,StrikeCalled
210131,StrikeSwinging
136307,BallCalled
205875,FoulBall
258727,StrikeCalled
28486,FoulBall
1188,FoulBall
30402,StrikeCalled
36528,FoulBall
41624,BallCalled
251211,InPlay
111256,BallCalled
135476,StrikeSwinging
245597,FoulBall
199060,BallCalled
173055,InPlay
250869,BallCalled
49512,FoulBall
93481,StrikeCalled
82300,FoulBall
209150,BallCalled
198411,StrikeCalled
265239,StrikeCalled
253621,BallCalled
165234,BallCalled
81274,BallCalled
204172,BallCalled
151636,InPlay
31817,BallCalled
148867,StrikeCalled
163603,InPlay
180290,InPlay
129503,BallCalled
28598,BallCalled
45850,FoulBall
252875,BallCalled
34300,BallCalled
249676,StrikeSwinging
196381,BallCalled
82626,BallCalled
122612,BallCalled
147841,FoulBall
54771,StrikeCalled
3393,BallCalled
53425,FoulBall
164294,StrikeCalled
255921,BallCalled
46807,StrikeSwinging
221949,BallCalled
239459,BallCalled
124234,StrikeCalled
80131,InPlay
177906,FoulBall
217744,StrikeCalled
153856,BallCalled
49502,InPlay
241528,FoulBall
191562,BallCalled
34778,InPlay
102411,FoulBall
4253,StrikeCalled
181018,BallCalled
154342,StrikeCalled
92723,BallCalled
12301,FoulBall
146860,FoulBall
232697,InPlay
68625,InPlay
154517,BallCalled
258356,StrikeCalled
1449,BallCalled
231406,FoulBall
239641,BallCalled
23911,InPlay
122657,StrikeCalled
180424,StrikeCalled
232158,BallCalled
14044,StrikeCalled
99719,BallCalled
154996,StrikeCalled
58401,StrikeSwinging
234069,FoulBall
228368,StrikeCalled
168112,FoulBall
262535,StrikeCalled
67878,InPlay
247612,BallCalled
157015,InPlay
19746,BallCalled
143902,StrikeSwinging
204986,BallCalled
193717,BallCalled
117338,StrikeSwinging
166834,InPlay
159831,FoulBall
186932,InPlay
147139,BallCalled
75043,StrikeCalled
146260,InPlay
188213,StrikeSwinging
262232,StrikeSwinging
26181,StrikeCalled
138642,InPlay
56441,StrikeSwinging
244559,InPlay
123689,BallCalled
150918,FoulBall
192529,StrikeCalled
83979,FoulBall
112591,BallCalled
104963,StrikeSwinging
157968,BallCalled
91671,BallCalled
245535,FoulBall
204175,StrikeSwinging
214647,BallCalled
162944,FoulBall
1654,StrikeSwinging
28649,BallCalled
13747,InPlay
175081,InPlay
246558,StrikeCalled
246072,FoulBall
158533,InPlay
62502,FoulBall
130814,StrikeSwinging
253909,BallCalled
226667,StrikeCalled
17313,StrikeSwinging
43308,StrikeCalled
20419,StrikeCalled
47561,BallCalled
155602,BallCalled
9496,BallCalled
81827,FoulBall
258357,BallCalled
97314,BallCalled
251173,BallCalled
111938,StrikeCalled
146901,FoulBall
67386,FoulBall
56421,BallCalled
212344,BallCalled
189254,StrikeCalled
262913,FoulBall
212515,StrikeSwinging
191691,BallCalled
42201,InPlay
128937,BallCalled
34080,BallCalled
165683,FoulBall
250552,BallCalled
137154,FoulBall
71572,StrikeSwinging
221372,InPlay
222186,StrikeSwinging
110148,BallCalled
12703,StrikeCalled
16696,BallCalled
74900,FoulBall
67479,FoulBall
71725,InPlay
65955,BallCalled
32329,InPlay
2327,StrikeCalled
41912,FoulBall
152864,InPlay
48979,BallCalled
144134,BallCalled
251971,BallCalled
156870,InPlay
177858,BallCalled
148651,FoulBall
208129,InPlay
2865,FoulBall
62883,BallCalled
122218,BallCalled
244113,BallCalled
230398,BallCalled
74871,BallCalled
120960,StrikeCalled
243069,StrikeSwinging
41650,BallCalled
29832,InPlay
13857,FoulBall
82717,BallCalled
164039,BallCalled
56472,StrikeSwinging
11363,StrikeCalled
5870,StrikeCalled
131700,StrikeSwinging
93090,StrikeCalled
202781,BallCalled
110632,BallCalled
206171,FoulBall
159724,BallCalled
221279,InPlay
99560,BallCalled
100298,StrikeCalled
190947,BallCalled
225869,BallCalled
220556,FoulBall
100201,InPlay
57644,FoulBall
101856,InPlay
177187,StrikeCalled
21040,FoulBall
155992,StrikeSwinging
66020,BallCalled
38898,StrikeCalled
115589,StrikeSwinging
184025,FoulBall
233787,BallCalled
44631,BallCalled
112936,FoulBall
93688,InPlay
148826,FoulBall
36412,FoulBall
215347,BallCalled
131799,FoulBall
222483,StrikeCalled
238751,InPlay
107719,BallCalled
267508,StrikeCalled
227985,StrikeSwinging
161217,InPlay
177941,InPlay
66491,StrikeSwinging
68538,StrikeSwinging
28940,BallCalled
15265,BallCalled
82961,StrikeCalled
186772,BallCalled
250506,InPlay
173650,FoulBall
56017,StrikeSwinging
32933,StrikeCalled
221775,StrikeCalled
240236,StrikeSwinging
45308,BallCalled
38394,BallCalled
159526,StrikeCalled
144050,BallCalled
70153,BallCalled
140610,FoulBall
143297,StrikeCalled
97223,InPlay
98959,StrikeSwinging
98722,StrikeCalled
101402,FoulBall
206590,FoulBall
155166,BallCalled
3593,BallCalled
32857,BallCalled
156192,BallCalled
199549,StrikeCalled
200794,FoulBall
138424,StrikeCalled
133992,BallCalled
41094,BallCalled
105563,FoulBall
154765,StrikeSwinging
15212,StrikeCalled
6559,FoulBall
79065,BallCalled
65373,BallCalled
74838,FoulBall
191763,StrikeCalled
45843,StrikeSwinging
145224,FoulBall
43495,BallCalled
159771,StrikeSwinging
198887,StrikeCalled
23021,StrikeCalled
198328,BallCalled
183019,InPlay
16485,StrikeCalled
125361,FoulBall
105684,StrikeSwinging
172326,BallCalled
39891,StrikeCalled
114984,BallCalled
234637,BallCalled
92776,StrikeCalled
210634,BallCalled
131348,InPlay
119493,BallCalled
1200,FoulBall
81421,FoulBall
150685,FoulBall
150784,BallCalled
262937,StrikeSwinging
248906,StrikeSwinging
38857,FoulBall
28502,StrikeCalled
207920,BallCalled
3168,FoulBall
265538,FoulBall
203826,StrikeSwinging
32766,FoulBall
161976,FoulBall
38003,InPlay
115245,BallCalled
240593,StrikeCalled
129382,BallCalled
28,StrikeCalled
33983,StrikeCalled
133748,BallCalled
62571,BallCalled
246159,BallCalled
34060,FoulBall
15488,StrikeSwinging
170985,InPlay
255480,StrikeCalled
35045,BallCalled
150494,BallCalled
35179,StrikeCalled
77159,InPlay
148797,BallCalled
29332,FoulBall
218843,StrikeSwinging
153378,FoulBall
112868,StrikeCalled
121696,InPlay
214821,BallCalled
258782,BallCalled
68039,InPlay
183250,StrikeCalled
97846,FoulBall
146929,BallCalled
144516,StrikeSwinging
39558,InPlay
173200,BallCalled
232641,StrikeCalled
165641,BallCalled
132442,FoulBall
98907,BallCalled
258472,InPlay
77663,FoulBall
237314,InPlay
213253,BallCalled
80300,BallCalled
51091,BallCalled
254721,FoulBall
171935,StrikeSwinging
68503,BallCalled
14741,StrikeSwinging
188349,StrikeCalled
17112,StrikeSwinging
163850,FoulBall
39663,BallCalled
64016,BallCalled
170553,BallCalled
36124,BallCalled
190434,BallCalled
157008,StrikeSwinging
3958,BallCalled
97095,BallCalled
145775,BallCalled
81101,InPlay
231327,FoulBall
104572,StrikeCalled
39846,InPlay
40652,StrikeSwinging
154685,FoulBall
215927,BallCalled
40123,BallCalled
206451,FoulBall
219357,StrikeCalled
183770,FoulBall
255918,InPlay
218083,BallCalled
149520,BallCalled
79813,BallCalled
153790,BallCalled
50028,StrikeSwinging
37089,BallCalled
92501,StrikeCalled
251875,FoulBall
23611,BallCalled
83748,BallCalled
81168,BallCalled
71805,StrikeCalled
163555,BallCalled
207200,FoulBall
235611,BallCalled
233131,BallCalled
177046,BallCalled
51210,BallCalled
252151,StrikeCalled
154119,StrikeCalled
34012,StrikeCalled
15780,BallCalled
201258,StrikeCalled
168485,StrikeSwinging
19234,BallCalled
230048,BallCalled
83235,FoulBall
127498,BallCalled
107457,BallCalled
128586,FoulBall
85950,StrikeCalled
104057,StrikeSwinging
248219,BallCalled
90730,InPlay
233595,BallCalled
6133,FoulBall
31649,StrikeSwinging
63628,BallCalled
55750,StrikeSwinging
229773,InPlay
15027,BallCalled
235633,FoulBall
248602,FoulBall
76161,FoulBall
168567,BallCalled
203577,StrikeCalled
265710,FoulBall
182174,FoulBall
252002,StrikeCalled
71153,InPlay
257884,StrikeSwinging
30508,StrikeCalled
213207,StrikeSwinging
121183,BallCalled
169094,FoulBall
170287,StrikeCalled
47745,FoulBall
59732,FoulBall
16558,InPlay
98520,StrikeSwinging
119629,InPlay
164539,BallCalled
128320,StrikeSwinging
88793,StrikeCalled
12975,StrikeSwinging
34734,BallCalled
246666,StrikeSwinging
243986,BallCalled
121983,BallCalled
158226,FoulBall
202815,StrikeCalled
65550,StrikeCalled
258799,BallCalled
223849,InPlay
210353,InPlay
14019,StrikeSwinging
104316,InPlay
