,PITCHER_KEY,PITCH_TYPE,TIMES_THROWN,SWINING_STRIKES,SWING_AND_MISS_RATE,USAGE_RATE
0,A,FB,1078,151,14.007421150278294,52.92096219931272
1,A,CB,256,28,10.9375,12.567501227295041
2,A,SL,649,108,16.640986132511557,31.860579283259693
3,A,CH,35,3,8.571428571428571,1.718213058419244
4,A,FF,18,3,16.666666666666664,0.8836524300441826
5,A,UN,1,0,0.0,0.049091801669121256
6,B,FB,1063,125,11.759172154280337,54.17940876656473
7,B,CB,480,81,16.875,24.464831804281346
8,B,CH,214,38,17.75700934579439,10.9072375127421
9,B,FF,46,7,15.217391304347828,2.344546381243629
10,B,UN,4,0,0.0,0.20387359836901123
11,B,SL,147,26,17.687074829931973,7.492354740061162
12,B,SI,8,1,12.5,0.40774719673802245
